userId,game_id,owned
4,4820,5
4,1578,5
4,1857,5
4,3567,5
4,5063,5
4,515,5
4,3489,5
4,3295,5
4,3268,5
4,1297,5
4,1170,5
4,48,5
4,2850,5
4,3762,5
4,2926,5
4,2606,5
4,3653,5
4,2981,5
4,1095,5
4,1357,5
4,2179,5
4,569,5
4,4099,5
4,4387,5
4,673,5
4,3673,5
4,3861,5
4,4288,5
4,1374,5
4,786,5
4,1962,5
4,2336,5
4,106,5
4,4418,5
4,1854,5
4,2909,5
4,687,5
4,1566,5
4,4842,5
4,4936,5
4,1314,5
4,3778,5
4,4401,5
4,3668,5
4,2806,5
4,2496,5
4,3623,5
4,4605,5
4,2453,5
4,313,5
4,2243,5
4,4394,5
4,46,5
4,3179,5
4,3491,5
4,855,5
4,4392,5
4,1752,5
4,1420,5
4,835,5
4,3617,5
4,4181,5
4,3416,5
4,44,5
4,871,5
4,883,5
4,315,5
4,4092,5
4,2861,5
4,4110,5
4,922,5
4,2201,5
4,2979,5
4,111,5
4,4087,5
4,850,5
4,251,5
4,4313,5
4,2447,5
4,2551,5
4,163,5
4,2748,5
4,4025,5
4,5038,5
4,4263,5
4,1920,5
4,2311,5
4,3557,5
4,4723,5
4,607,5
4,4004,5
4,2857,5
4,3291,5
4,3615,5
4,307,5
4,3475,5
4,2836,5
4,4773,5
4,1516,5
4,1815,5
4,1615,5
4,421,5
4,3448,5
4,2130,5
4,1304,5
4,3647,5
4,736,5
4,1833,5
4,3462,5
4,4245,5
4,2433,5
4,983,5
4,2831,5
4,1226,5
4,1340,5
4,4826,5
4,5136,5
4,1783,5
4,4507,5
4,979,5
4,2787,5
4,3275,5
4,1771,5
4,1671,5
4,3631,5
4,4506,5
4,5095,5
4,63,5
4,3509,5
4,1456,5
4,3457,5
4,3296,5
4,661,5
4,2742,5
4,5116,5
4,4107,5
4,4437,5
4,2908,5
4,433,5
4,3550,5
4,3196,5
4,1717,5
4,2661,5
4,3904,5
4,2705,5
4,348,5
4,705,5
4,1860,5
4,2147,5
4,4682,5
4,3828,5
4,3833,5
4,2248,5
4,4534,5
4,4053,5
4,591,5
4,202,5
4,4646,5
4,4351,5
4,2557,5
4,2397,5
4,939,5
4,778,5
4,4591,5
4,3859,5
4,608,5
4,808,5
4,4300,5
4,4524,5
4,2826,5
4,2581,5
4,1250,5
4,1214,5
4,2674,5
4,4444,5
4,4560,5
4,3986,5
4,2946,5
4,171,5
4,3018,5
4,760,5
4,650,5
4,3985,5
4,3863,5
4,754,5
4,1242,5
4,1078,5
4,2613,5
4,2307,5
4,4841,5
4,4610,5
4,984,5
4,3451,5
4,3423,5
4,1768,5
4,126,5
4,4088,5
4,1474,5
4,3836,5
4,3493,5
4,2005,5
4,5122,5
4,3948,5
4,4933,5
4,4771,5
4,2194,5
4,1079,5
4,4905,5
4,4368,5
4,4104,5
4,2207,5
4,1658,5
4,906,5
4,1375,5
4,3001,5
4,1576,5
4,2372,5
4,256,5
4,3057,5
4,3760,5
4,2829,5
4,2542,5
4,3596,5
4,2931,5
4,3905,5
4,541,5
4,3482,5
4,2472,5
4,561,5
4,3710,5
4,255,5
4,5121,5
4,186,5
4,3951,5
4,3075,5
4,2392,5
4,3106,5
4,4426,5
4,3611,5
4,308,5
4,2605,5
4,157,5
4,1273,5
4,757,5
4,2283,5
4,4994,5
4,28,5
4,3715,5
4,162,5
4,3319,5
4,3959,5
4,1522,5
4,1240,5
4,3055,5
4,401,5
4,55,5
4,4128,5
4,2573,5
4,1331,5
4,134,5
4,862,5
4,1713,5
4,156,5
4,709,5
4,2968,5
4,4749,5
4,4309,5
4,5020,5
4,3252,5
4,491,5
4,2378,5
4,2945,5
4,2535,5
4,5073,5
4,337,5
4,4580,5
4,4462,5
4,5084,5
4,2762,5
4,4441,5
4,1104,5
4,1844,5
4,1882,5
4,3359,5
4,3133,5
4,317,5
4,1037,5
4,1384,5
4,2680,5
4,901,5
4,4892,5
4,3009,5
4,3430,5
4,4306,5
4,1562,5
4,654,5
4,948,5
4,1296,5
4,4232,5
4,2867,5
4,861,5
4,4297,5
4,4151,5
4,85,5
4,50,5
4,3885,5
4,2821,5
4,3597,5
4,4787,5
4,4572,5
4,4350,5
4,4742,5
4,965,5
4,4854,5
4,4210,5
4,3120,5
4,904,5
4,838,5
4,3614,5
4,283,5
4,920,5
4,2351,5
4,2110,5
4,543,5
4,2973,5
4,3473,5
4,1914,5
4,517,5
4,2529,5
4,1491,5
4,3443,5
4,1695,5
4,696,5
4,1139,5
4,4908,5
4,4186,5
4,3070,5
4,5029,5
4,3242,5
4,5046,5
4,4740,5
4,2056,5
4,3728,5
4,1871,5
4,1943,5
4,3394,5
4,1989,5
4,1942,5
4,1774,5
4,2218,5
4,3161,5
4,3634,5
4,3260,5
4,192,5
4,2993,5
4,3516,5
4,303,5
4,4727,5
4,3914,5
4,737,5
4,3744,5
4,3483,5
4,2172,5
4,2083,5
4,3566,5
4,3278,5
4,3961,5
4,4928,5
4,4449,5
4,1411,5
4,3731,5
4,4145,5
4,915,5
4,3444,5
4,1638,5
4,3195,5
4,4570,5
4,279,5
4,880,5
4,1333,5
4,4672,5
4,3225,5
4,572,5
4,1013,5
4,266,5
4,1928,5
4,1575,5
4,3294,5
4,3774,5
4,1975,5
4,4427,5
4,5053,5
4,4445,5
4,2877,5
4,619,5
4,3989,5
4,1110,5
4,5026,5
4,3684,5
